"";"date";"p_value";"lift";"users"
"1";2020-02-01;0,40515;0,214387464387464;731
"2";2020-02-02;0,3188;0,183619550858653;1461
"3";2020-02-03;0,55553;0,0829441350817317;2285
"4";2020-02-04;0,52978;0,075370018975332;3068
"5";2020-02-05;0,93192;0,0129445366920968;3909
"6";2020-02-06;0,65626;0,0429513001493773;4694
"7";2020-02-07;0,14631;0,123387654942427;5476
"8";2020-02-08;0,27433;0,0849259353407436;6280
"9";2020-02-09;0,17989;0,0979067488098572;7090
"10";2020-02-10;0,24195;0,0802933948591675;7899
"11";2020-02-11;0,23558;0,0771356436951379;8646
"12";2020-02-12;0,19727;0,0801207243460765;9468
"13";2020-02-13;0,09274;0,100581914324609;10315
